0,4,5,39.1
0,5,5,59.4
0,6,5,101.05
0,7,5,239.5
1,4,5,24.3
1,5,5,40.05
1,6,5,47.05
1,7,5,71.05
,,,
0,4,10,36.7
0,5,10,58.1
0,6,10,102.2
0,7,10,256.2
1,4,10,29.1
1,5,10,48.4
1,6,10,63.3
1,7,10,103.6
,,,
,,,
0,4,15,38.35
0,5,15,61.75
0,6,15,100.25
0,7,15,228.85
1,4,15,31.35
1,5,15,53.7
1,6,15,72.5
1,7,15,96.9
,,,
0,4,20,39.1
0,5,20,65.45
0,6,20,168.6
0,7,20,257.1
1,4,20,32.9
1,5,20,62
1,6,20,79.35
1,7,20,103.6
,,,
0,4,25,39.1
0,5,25,69.65
0,6,25,133.15
0,7,25,405.9
1,4,25,33.05
1,5,25,65.45
1,6,25,93.45
1,7,25,117.45
,,,
0,4,50,39
0,5,50,69.55
0,6,50,163.15
0,7,50,318.5
1,4,50,34.8
1,5,50,77.2
1,6,50,115.9
1,7,50,148.35
,,,
0,4,100,39
0,5,100,76.15
0,6,100,163.75
0,7,100,398.3
1,4,100,34.8
1,5,100,81.35
1,6,100,131.4
1,7,100,268.8
,,,
0,4,10000,39
0,5,10000,76.15
0,6,10000,212.3
0,7,10000,419.45
1,4,10000,34.8
1,5,10000,81.35
1,6,10000,146.95
1,7,10000,265.35
